,Invoice,StockCode,Description,Quantity,InvoiceDate
0,536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00
1,536365,71053,WHITE METAL LANTERN,6,2010-12-01 08:26:00
2,536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26:00
3,536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 08:26:00
4,536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 08:26:00
5,536365,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 08:26:00
6,536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 08:26:00
7,536366,22633,HAND WARMER UNION JACK,6,2010-12-01 08:28:00
8,536366,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 08:28:00
9,536368,22960,JAM MAKING SET WITH JARS,6,2010-12-01 08:34:00
10,536368,22913,RED COAT RACK PARIS FASHION,3,2010-12-01 08:34:00
11,536368,22912,YELLOW COAT RACK PARIS FASHION,3,2010-12-01 08:34:00
12,536368,22914,BLUE COAT RACK PARIS FASHION,3,2010-12-01 08:34:00
13,536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34:00
14,536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-01 08:34:00
15,536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-01 08:34:00
16,536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2010-12-01 08:34:00
17,536367,22310,IVORY KNITTED MUG COSY,6,2010-12-01 08:34:00
18,536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-01 08:34:00
19,536367,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2010-12-01 08:34:00
20,536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-12-01 08:34:00
21,536367,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 08:34:00
22,536367,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01 08:34:00
23,536367,21777,RECIPE BOX WITH METAL HEART,4,2010-12-01 08:34:00
24,536367,48187,DOORMAT NEW ENGLAND,4,2010-12-01 08:34:00
25,536369,21756,BATH BUILDING BLOCK WORD,3,2010-12-01 08:35:00
26,536370,22728,ALARM CLOCK BAKELIKE PINK,24,2010-12-01 08:45:00
27,536370,22727,ALARM CLOCK BAKELIKE RED,24,2010-12-01 08:45:00
28,536370,22726,ALARM CLOCK BAKELIKE GREEN,12,2010-12-01 08:45:00
29,536370,21724,PANDA AND BUNNIES STICKER SHEET,12,2010-12-01 08:45:00
30,536370,21883,STARS GIFT TAPE,24,2010-12-01 08:45:00
31,536370,10002,INFLATABLE POLITICAL GLOBE,48,2010-12-01 08:45:00
32,536370,21791,VINTAGE HEADS AND TAILS CARD GAME,24,2010-12-01 08:45:00
33,536370,21035,SET/2 RED RETROSPOT TEA TOWELS,18,2010-12-01 08:45:00
34,536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND,24,2010-12-01 08:45:00
35,536370,22629,SPACEBOY LUNCH BOX,24,2010-12-01 08:45:00
36,536370,22659,LUNCH BOX I LOVE LONDON,24,2010-12-01 08:45:00
37,536370,22631,CIRCUS PARADE LUNCH BOX,24,2010-12-01 08:45:00
38,536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,2010-12-01 08:45:00
39,536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2010-12-01 08:45:00
40,536370,22900,SET 2 TEA TOWELS I LOVE LONDON,24,2010-12-01 08:45:00
41,536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,2010-12-01 08:45:00
42,536370,22540,MINI JIGSAW CIRCUS PARADE,24,2010-12-01 08:45:00
43,536370,22544,MINI JIGSAW SPACEBOY,24,2010-12-01 08:45:00
44,536370,22492,MINI PAINT SET VINTAGE,36,2010-12-01 08:45:00
46,536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS,80,2010-12-01 09:00:00
47,536372,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 09:01:00
48,536372,22633,HAND WARMER UNION JACK,6,2010-12-01 09:01:00
49,536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:02:00
50,536373,71053,WHITE METAL LANTERN,6,2010-12-01 09:02:00
51,536373,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 09:02:00
52,536373,20679,EDWARDIAN PARASOL RED,6,2010-12-01 09:02:00
53,536373,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-01 09:02:00
